#Index   R       G       B        mm/h
  0   255  255  255      0.000000
  1   255  254  254      0.000000
  2   255  253  253      0.000104
  3   255  252  252      0.000112
  4   255  251  251      0.000121
  5   255  250  250      0.000131
  6   255  249  249      0.000141
  7   255  248  248      0.000153
  8   255  247  247      0.000165
  9   255  246  246      0.000178
 10   255  245  245      0.000192
 11   255  244  244      0.000207
 12   255  243  243      0.000224
 13   255  242  242      0.000242
 14   255  241  241      0.000261
 15   255  240  240      0.000282
 16   255  239  239      0.000304
 17   255  238  238      0.000329
 18   255  237  237      0.000355
 19   255  236  236      0.000383
 20   255  235  235      0.000414
 21   255  234  234      0.000447
 22   255  233  233      0.000483
 23   255  232  232      0.000521
 24   255  231  231      0.000563
 25   255  230  230      0.000607
 26   255  229  229      0.000656
 27   255  228  228      0.000708
 28   255  227  227      0.000765
 29   255  226  226      0.000826
 30   255  225  225      0.000892
 31   255  224  224      0.000963
 32   255  223  223      0.001040
 33   255  222  222      0.001123
 34   255  221  221      0.001212
 35   255  220  220      0.001309
 36   255  219  219      0.001413
 37   255  218  218      0.001526
 38   255  217  217      0.001648
 39   255  216  216      0.001779
 40   255  215  215      0.001921
 41   255  214  214      0.002074
 42   255  213  213      0.002240
 43   255  212  212      0.002418
 44   255  211  211      0.002611
 45   255  210  210      0.002820
 46   255  209  209      0.003045
 47   255  208  208      0.003288
 48   255  207  207      0.003550
 49   255  206  206      0.003833
 50   255  205  205      0.004139
 51   255  204  204      0.004469
 52   255  203  203      0.004825
 53   255  202  202      0.005210
 54   255  201  201      0.005626
 55   255  200  200      0.006075
 56   255  199  199      0.006560
 57   255  198  198      0.007083
 58   255  197  197      0.007648
 59   255  196  196      0.008258
 60   255  195  195      0.008917
 61   255  194  194      0.009628
 62   255  193  193      0.010396
 63   255  192  192      0.011226
 64   255  191  191      0.012121
 65   255  190  190      0.013088
 66   255  189  189      0.014132
 67   255  188  188      0.015260
 68   255  187  187      0.016477
 69   255  186  186      0.017791
 70   255  185  185      0.019211
 71   255  184  184      0.020743
 72   255  183  183      0.022398
 73   255  182  182      0.024185
 74   255  181  181      0.026114
 75   255  180  180      0.028197
 76   255  179  179      0.030447
 77   255  178  178      0.032876
 78   255  177  177      0.035498
 79   255  176  176      0.038330
 80   255  175  175      0.041388
 81   255  174  174      0.044690
 82   255  173  173      0.048255
 83   255  172  172      0.052105
 84   255  171  171      0.056261
 85   255  170  170      0.060749
 86   255  169  169      0.065596
 87   255  168  168      0.070829
 88   255  167  167      0.076479
 89   255  166  166      0.082580
 90   255  165  165      0.089168
 91   255  164  164      0.096281
 92   255  163  163      0.103962
 93   255  162  162      0.112256
 94   255  161  161      0.121211
 95   255  160  160      0.130881
 96   255  159  159      0.141322
 97   255  158  158      0.152596
 98   255  157  157      0.164769
 99   255  156  156      0.177913
100   255  155  155      0.192106
101   255  154  154      0.207432
102   255  153  153      0.223980
103   255  152  152      0.241848
104   255  151  151      0.261141
105   255  150  150      0.281974
106   255  149  149      0.304468
107   255  148  148      0.328757
108   255  147  147      0.354984
109   255  146  146      0.383303
110   255  145  145      0.413881
111   255  144  144      0.446898
112   255  143  143      0.482550
113   255  142  142      0.521045
114   255  141  141      0.562612
115   255  140  140      0.607494
116   255  139  139      0.655957
117   255  138  138      0.708286
118   255  137  137      0.764790
119   255  136  136      0.825801
120   255  135  135      0.891679
121   255  134  134      0.962813
122   255  133  133      1.039622
123   255  132  132      1.122558
124   255  131  131      1.212110
125   255  130  130      1.308806
126   255  129  129      1.413216
127   255  128  128      1.525956
128   255  127  127      1.647689
129   255  126  126      1.779134
130   255  125  125      1.921064
131   255  124  124      2.074317
132   255  123  123      2.239797
133   255  122  122      2.418477
134   255  121  121      2.611412
135   255  120  120      2.819737
136   255  119  119      3.044682
137   255  118  118      3.287573
138   255  117  117      3.549839
139   255  116  116      3.833028
140   255  115  115      4.138808
141   255  114  114      4.468982
142   255  113  113      4.825497
143   255  112  112      5.210451
144   255  111  111      5.626115
145   255  110  110      6.074939
146   255  109  109      6.559568
147   255  108  108      7.082860
148   255  107  107      7.647896
149   255  106  106      8.258007
150   255  105  105      8.916791
151   255  104  104      9.628128
152   255  103  103     10.396218
153   255  102  102     11.225573
154   255  101  101     12.121098
155   255  100  100     13.088064
156   255   99   99     14.132160
157   255   98   98     15.259560
158   255   97   97     16.476887
159   255   96   96     17.791338
160   255   95   95     19.210651
161   255   94   94     20.743176
162   255   93   93     22.397970
163   255   92   92     24.184763
164   255   91   91     26.114113
165   255   90   90     28.197380
166   255   89   89     30.446817
167   255   88   88     32.875725
168   255   87   87     35.498375
169   255   86   86     38.330276
170   255   85   85     41.388092
171   255   84   84     44.689816
172   255   83   83     48.254967
173   255   82   82     52.104492
174   255   81   81     56.261154
175   255   80   80     60.749409
176   255   79   79     65.595680
177   255   78   78     70.828606
178   255   77   77     76.478935
179   255   76   76     82.580078
180   255   75   75     89.167946
181   255   74   74     96.281288
182   255   73   73    103.962173
183   255   72   72    112.255730
184   255   71   71    121.210983
185   255   70   70    130.880646
186   255   69   69    141.321594
187   255   68   68    152.595596
188   255   67   67    164.768860
189   255   66   66    177.913391
190   255   65   65    192.106506
191   255   64   64    207.431747
192   255   63   63    223.979721
193   255   62   62    241.847626
194   255   61   61    261.141113
195   255   60   60    281.973785
196   255   59   59    304.468170
197   255   58   58    328.757263
198   255   57   57    354.983765
199   255   56   56    383.302795
200   255   55   55    413.880951
201   255   54   54    446.898163
202   255   53   53    482.549683
203   255   52   52    521.044922
204   255   51   51    562.611511
205   255   50   50    607.494080
206   255   49   49    655.956787
207   255   48   48    708.286011
208   255   47   47    764.789307
209   255   46   46    825.800781
210   255   45   45    891.679443
211   255   44   44    962.812866
212   255   43   43   1039.621826
213   255   42   42   1122.557251
214   255   41   41   1212.109741
215   255   40   40   1308.806396
216   255   39   39   1413.215942
217   255   38   38   1525.956055
218   255   37   37   1647.688843
219   255   36   36   1779.133911
220   255   35   35   1921.065063
221   255   34   34   2074.317383
222   255   33   33   2239.797119
223   255   32   32   2418.476318
224   255   31   31   2611.411377
225   255   30   30   2819.738037
226   255   29   29   3044.681641
227   255   28   28   3287.572754
228   255   27   27   3549.837646
229   255   26   26   3833.027588
230   255   25   25   4138.809570
231   255   24   24   4468.981445
232   255   23   23   4825.493164
233   255   22   22   5210.449219
234   255   21   21   5626.115234
235   255   20   20   6074.940918
236   255   19   19   6559.572754
237   255   18   18   7082.854980
238   255   17   17   7647.893555
239   255   16   16   8258.007812
240   255   15   15   8916.793945
241   255   14   14   9628.136719
242   255   13   13  10396.209961
243   255   12   12  11225.573242
244   255   11   11  12121.098633
245   255   10   10  13088.063477
246   255    9    9  14132.170898
247   255    8    8  15259.549805
248   255    7    7  16476.886719
249   255    6    6  17791.337891
250   255    5    5  19210.650391
251   255    4    4      0.000000
252   255    3    3      0.000000
253   255    2    2      0.000000
254   255    1    1      0.000000
255     0    0    0      -1.000000
